"filename", "language", "HTML", "JavaScript", "XML", "JSON", "Properties", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\.env", "Properties", 0, 0, 0, 0, 2, 0, 0, 0, 3, 5
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\README.md", "HTML", 38, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\package-lock.json", "JSON", 0, 0, 0, 20806, 0, 0, 0, 0, 1, 20807
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\package.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 1, 66
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\public\index.html", "HTML", 28, 0, 0, 0, 0, 0, 0, 23, 2, 53
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 33, 0, 6, 39
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\App.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 2, 3, 61
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\CardProduct.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 2, 40
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\FormUpdateCreateUser.js", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 0, 5, 117
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\ModalUpdate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\ProtectedRoute.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\StatisticsCard.js", "JavaScript", 0, 232, 0, 0, 0, 0, 0, 0, 3, 235
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\UserProfile.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 5, 88
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\css\NotFound.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\css\reset.css", "CSS", 0, 0, 0, 0, 0, 0, 244, 41, 34, 319
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\data\dataTable.js", "JavaScript", 0, 1002, 0, 0, 0, 0, 0, 0, 1, 1003
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\index.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 8, 3, 26
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\index.scss", "SCSS", 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\Banner.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 11, 97
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\DashBoard.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\DashboardAdmin.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 4, 67
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\Footer.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 0, 7, 115
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\FormComment.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 1, 6, 91
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\Header.js", "JavaScript", 0, 166, 0, 0, 0, 0, 0, 12, 9, 187
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\MenuProduct.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Detail.js", "JavaScript", 0, 523, 0, 0, 0, 0, 0, 3, 34, 560
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Home.js", "JavaScript", 0, 161, 0, 0, 0, 0, 0, 0, 5, 166
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Manage.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 3, 78
