"filename", "language", "JavaScript", "XML", "Properties", "SCSS", "CSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\.env", "Properties", 0, 0, 2, 0, 0, 0, 0, 0, 3, 5
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\README.md", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 21041, 0, 1, 21042
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\package.json", "JSON", 0, 0, 0, 0, 0, 0, 74, 0, 1, 75
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\public\index.html", "HTML", 0, 0, 0, 0, 0, 28, 0, 23, 2, 53
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 0, 1, 26
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\App.css", "CSS", 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\App.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 2, 3, 55
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\ButtonTemplate.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Card\CardListProduct.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Card\CardPermissionRole.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Card\CardProduct.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 2, 40
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Card\CardStatic.js", "JavaScript", 232, 0, 0, 0, 0, 0, 0, 0, 3, 235
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Editor.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 12, 9, 89
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Field\FieldInput.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Field\FieldSelect.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormCategory.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormCategoryRole.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 1, 4, 37
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormComment.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 5, 85
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormEditRole.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 6, 80
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormPermission.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 1, 8, 62
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormProduct.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 2, 5, 88
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormUser.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\ProtectedRoute.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\UploadFIle.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 9, 88
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\UserProfile.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 5, 88
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\css\NotFound.scss", "SCSS", 0, 0, 0, 29, 0, 0, 0, 0, 5, 34
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\css\reset.css", "CSS", 0, 0, 0, 0, 244, 0, 0, 41, 34, 319
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\data\ConfigData.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 15, 124
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\hooks\useModel.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\hooks\useModelControl.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\hooks\useModelRemove.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\index.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 8, 3, 26
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\index.scss", "SCSS", 0, 0, 0, 32, 0, 0, 0, 0, 5, 37
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\Banner.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 3, 58
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\DashBoard.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\EditorWithUseQuill.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 1, 7, 36
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\Footer.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 0, 7, 115
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\Header.js", "JavaScript", 166, 0, 0, 0, 0, 0, 0, 12, 9, 187
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\Manage.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 3, 80
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManageCategories.js", "JavaScript", 237, 0, 0, 0, 0, 0, 0, 3, 15, 255
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManagePermissions.js", "JavaScript", 253, 0, 0, 0, 0, 0, 0, 3, 9, 265
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManageProducts.js", "JavaScript", 243, 0, 0, 0, 0, 0, 0, 18, 11, 272
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManageRoles.js", "JavaScript", 252, 0, 0, 0, 0, 0, 0, 3, 13, 268
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManageUsers.js", "JavaScript", 287, 0, 0, 0, 0, 0, 0, 9, 12, 308
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\DashboardAdmin.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 3, 73
